iter	Passed	Remaining
475	664	732
476	666	730
477	667	728
478	668	727
479	670	725
480	671	724
481	672	722
482	673	720
483	674	719
484	675	717
485	676	715
486	677	713
487	678	712
488	680	710
489	681	709
490	682	707
491	683	705
492	684	704
493	685	702
494	686	700
495	687	699
496	689	697
497	690	695
498	691	694
499	692	692
500	693	690
501	694	689
502	695	687
503	696	685
504	698	684
505	699	682
506	700	681
507	701	679
508	702	677
509	703	676
510	704	674
511	706	672
512	707	671
513	708	669
514	709	667
515	710	666
516	711	664
517	712	662
518	713	661
519	714	659
520	715	657
521	716	656
522	717	654
523	718	652
524	719	651
525	720	649
526	721	647
527	722	646
528	724	644
529	725	643
530	726	641
531	727	639
532	728	637
533	729	636
534	730	634
535	731	633
536	732	631
537	733	629
538	734	627
539	735	626
540	736	624
541	737	623
542	738	621
543	739	619
544	740	618
545	741	616
546	743	615
547	744	613
548	745	612
549	746	610
550	747	608
551	748	607
552	749	605
553	750	604
554	751	602
555	752	600
556	753	599
557	754	597
558	755	595
559	756	594
560	757	592
561	758	590
562	759	589
563	760	587
564	761	586
565	762	584
566	763	582
567	764	581
568	765	579
569	766	578
570	767	576
571	768	575
572	769	573
573	770	572
574	771	570
575	772	568
576	774	567
577	775	566
578	776	564
579	777	562
580	778	561
581	779	559
582	780	558
583	781	556
584	782	555
585	783	553
586	784	551
587	785	550
588	786	548
589	787	547
590	788	545
591	789	544
592	791	542
593	792	541
594	793	540
595	794	538
596	795	536
597	796	535
598	797	533
599	798	532
600	799	530
601	800	529
602	801	527
603	802	526
604	803	524
605	804	523
606	805	521
607	806	520
608	807	518
609	808	516
610	809	515
611	810	513
612	811	512
613	813	511
614	814	509
615	815	508
616	815	506
617	817	505
618	818	503
619	819	502
620	820	500
621	821	499
622	822	497
623	823	496
624	824	494
625	825	493
626	826	491
627	827	490
628	828	488
629	829	487
630	830	485
631	831	484
632	832	482
633	833	481
634	835	479
635	836	478
636	837	477
637	838	475
638	839	474
639	840	472
640	841	471
641	842	469
642	843	468
643	844	466
644	845	465
645	846	463
646	847	462
647	848	460
648	849	459
649	850	457
650	851	456
651	852	454
652	853	453
653	854	451
654	855	450
655	856	449
656	857	447
657	858	446
658	859	444
659	860	443
660	862	442
661	863	440
662	864	439
663	865	437
664	866	436
665	867	435
666	868	433
667	869	432
668	870	430
669	871	429
670	872	427
671	873	426
672	874	424
673	875	423
674	876	422
675	877	420
676	878	419
677	879	417
678	880	416
679	881	415
680	882	413
681	884	412
682	885	410
683	886	409
684	887	408
685	888	406
686	889	405
687	890	403
688	891	402
689	892	401
690	893	399
691	894	398
692	895	396
693	896	395
694	897	393
695	898	392
696	899	391
697	900	389
698	901	388
699	902	386
700	903	385
701	905	384
702	906	382
703	907	381
704	908	380
705	910	378
706	911	377
707	913	376
708	914	375
709	915	374
710	916	372
711	918	371
712	919	370
713	920	368
714	921	367
715	923	366
716	924	364
717	925	363
718	926	362
719	927	360
720	928	359
721	929	358
722	931	356
723	932	355
724	933	353
725	934	352
726	935	351
727	936	349
728	937	348
729	938	347
730	939	345
731	940	344
732	941	343
733	942	341
734	943	340
735	944	338
736	945	337
737	946	336
738	947	334
739	948	333
740	950	332
741	951	330
742	952	329
743	953	328
744	954	326
745	956	325
746	957	324
747	958	322
748	959	321
749	960	320
750	961	318
751	962	317
752	963	316
753	964	314
754	966	313
755	967	312
756	968	310
757	969	309
758	970	308
759	971	306
760	972	305
761	973	304
762	974	302
763	975	301
764	976	300
765	977	298
766	978	297
767	980	296
768	981	294
769	982	293
770	983	292
771	984	290
772	985	289
773	986	288
774	987	286
775	988	285
776	989	284
777	990	282
778	991	281
779	992	280
780	993	278
781	994	277
782	995	276
783	996	274
784	997	273
785	999	272
786	1000	270
787	1001	269
788	1002	267
789	1003	266
790	1004	265
791	1005	264
792	1006	262
793	1007	261
794	1008	260
795	1009	258
796	1010	257
797	1011	256
